bid_pbanc_no,bid_pbanc_ord,bid_clsf_no,bid_prgrs_ord,bid_pbanc_nm,bid_pbanc_num,pbanc_stts_cd,pbanc_stts_cd_nm,prcm_bsne_se_cd,prcm_bsne_se_cd_nm,bid_mthd_cd,bid_mthd_cd_nm,std_ctrt_mthd_cd,std_ctrt_mthd_cd_nm,scsbd_mthd_cd,scsbd_mthd_cd_nm,pbanc_inst_unty_grp_no,pbanc_inst_unty_grp_no_nm,grp_nm,bid_blff_id,bid_blff_id_nm,ibx_onbs_prnmnt_dt,ibx_onbs_dt,edoc_no,usr_doc_no_val
R26BK01325904,000,0,000,구조분야 관계기술자협업건축구조 용역업체 선정을 위한 입찰 공고,R26BK01325904000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030021,최저가낙찰제,IN0100000089136,외동주공아파트 재건축정비사업조합,,UN00000265798,이혜민,2026-02-19 15:00:00,,외동주공아파트재건축정비사업조합공고제2026-02-09-2호,외동주공아파트재건축정비사업조합공고제2026-02-09-2호
R26BK01326409,003,0,000,금호타운아파트 재건축정비사업 정비사업전문관리업자 선정,R26BK01326409003,공400003,취소공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014004,금호타운아파트 재건축정비사업 조합설립추진위원회,,UN00000569910,박기환,2026-02-23 11:00:00,,2026-02,2026-02
R26BK01326603,000,0,000,2종 시설물 역사 정밀안전점검 용역,R26BK01326603000,공400001,등록공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030021,최저가낙찰제,IN0100000072379,부산-김해경전철주식회사,,CM009491G0002,박장우,2026-02-27 14:00:00,,부산-김해경전철입찰공고제2026-003호,부산-김해경전철입찰공고제2026-003호
R26BK01326490,000,0,000,통합 전자문서 구축 용역 RFP,R26BK01326490000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0000000014063,주식회사 잇올,,UN00000577067,이상훈,2026-02-27 18:00:00,,문서번호ia2026-0209-0110,문서번호ia2026-0209-0110
R26BK01326326,001,0,000,금호타운아파트 재건축정비사업 설계자 선정,R26BK01326326001,공400002,변경공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014004,금호타운아파트 재건축정비사업 조합설립추진위원회,,UN00000569910,박기환,2026-02-23 11:00:00,,2026-01,2026-01
R26BK01326451,000,0,000,K리그 통합 데이터포털 위탁 유지보수 운영,R26BK01326451000,공400004,재공고,조070002,용역,입180001,직찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000075693,(사)한국프로축구연맹,,UN00000470950,심규성,2026-02-19 11:00:00,,20260209,20260209
R26BK01326281,000,0,000,2026년 문학경기장 소방시설 종합점검 용역,R26BK01326281000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030003,제한경쟁,낙030027,최고가,IN0100000090739,(주)아스타아이비에스,,UN00000192458,유정서,2026-02-20 11:00:00,,2026-01,2026-01
R26BK01326247,000,0,000,KAI 26년 지속가능성보고서 기후 공시 대응 용역 업체 선정의 건,R26BK01326247000,공400001,등록공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030021,최저가낙찰제,IN0100000086382,한국항공우주산업주식회사,,UN00000172578,박경우,2026-02-23 12:00:00,,20260209B,20260209B
R26BK01326177,000,0,000,협약기업 직무분석 및 훈련과정 개발 용역,R26BK01326177000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000067700,한국광산업진흥회,,UN00000322820,김효진,2026-03-05 16:00:00,,인력양성팀-60,인력양성팀-60
R26BK01325918,001,0,000,부평2구역 공고,R26BK01325918001,공400003,취소공고,조070004,공사,입180001,직찰,계030001,일반경쟁,낙030027,최고가,IN0100000084888,부평2구역주택재개발정비사업조합,,CM021850G0002,송승희,2026-02-10 17:00:00,,부평2-2026-0209,부평2-2026-0209
R26BK01325816,000,0,000,도곡우성아파트 토목분야 용역 업체 선정 입찰 공고,R26BK01325816000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000002577,도곡우성아파트 재건축정비사업조합,,UN00000381425,유인석,2026-02-23 16:00:00,,제2026-03호,제2026-03호
R26BK01325693,000,0,000,도곡우성아파트 환경 및 재해영향평가 업체 선정 입찰 공고,R26BK01325693000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000002577,도곡우성아파트 재건축정비사업조합,,UN00000381425,유인석,2026-02-23 15:00:00,,제2026-02호,제2026-02호
T26BK01325021,000,0,000,강서구와 함께하는OKTA 45주년 OK Live K-POP 콘서트,T26BK01325021000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0000000014084,(사)세계한인경제무역협회,,UN00000580340,원동민,2026-02-16 17:00:00,,20260209,20260209
R26BK01325661,000,0,000,설계자 선정을 위한 입찰공고,R26BK01325661000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000119824,벧엘아파트 소규모재건축사업조합,,UN00000563351,이승호,2026-02-27 15:00:00,,벧엘조합공고제260209-01호,벧엘조합공고제260209-01호
T26BK01325645,000,0,000,부곡주공1단지 재건축 정비사업 시공자 선정 입찰공고,T26BK01325645000,공400001,등록공고,조070004,공사,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000129841,부곡주공1단지 주택재건축정비사업조합,,UN00000260470,김영호,2026-03-09 14:00:00,,부곡주공1단지재건축정비사업조합제2026-0209-01호,부곡주공1단지재건축정비사업조합제2026-0209-01호
R26BK01325404,000,0,000,정비사업전문관리업체 선정 입찰 재공고,R26BK01325404000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000013665,남구 신정1구역재개발사업조합설립추진위원회,,UN00000555005,남정필,2026-02-23 17:00:00,,신정1구역재개발사업공고2026-003호,신정1구역재개발사업공고2026-003호
R26BK01325377,000,0,000,2026 KBL 유스 Y리그 중계방송 제작,R26BK01325377000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000075155,사단법인 케이비엘,,UN00000439538,박주진,2026-03-23 15:00:00,,202602,202602
R26BK01325148,000,0,000,정비사업전문관리업체 선정 입찰 공고,R26BK01325148000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000111041,신암4재정비촉진구역주택재개발정비사업조합,,UN00000337718,구영애,2026-02-24 15:00:00,,제2026-01호,제2026-01호
R26BK01325128,000,0,000,가설휀스 및 공사현장 내부 유지관리업체 선정 입찰공고,R26BK01325128000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000087586,십정3구역주택재개발정비사업조합,,CM024643G0001,김다슬,2026-02-20 12:00:00,,제2026-8호,제2026-8호
R26BK01311849,001,1,000,2026년 화공약품 구매 단가계약,R26BK01311849001,공400002,변경공고,조070001,물품,입180002,전자입찰,계030003,제한경쟁,낙030021,최저가낙찰제,IN0100000110367,인천공항에너지 주식회사,,UN00000569693,이지혜,2026-02-20 10:00:00,,2026-구매-제003호,2026-구매-제003호
R26BK01324978,000,0,000,용호1구역 설계자 선정 입찰공고,R26BK01324978000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000013774,용호1구역 재개발정비사업조합설립추진위원회,,UN00000562361,박두춘,2026-03-03 17:00:00,,제2026-03호,제2026-03호
R26BK01324952,000,0,000,KAI 2026년 공통직 1년차 역할역량 교육 업체 선정의 건,R26BK01324952000,공400001,등록공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000086382,한국항공우주산업주식회사,,UN00000172578,박경우,2026-02-25 12:00:00,,20250209A,20250209A
R26BK01324836,000,0,000,용호1구역 정비사업전문관리업자 선정 입찰공고,R26BK01324836000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000013774,용호1구역 재개발정비사업조합설립추진위원회,,UN00000562361,박두춘,2026-03-03 16:00:00,,제2026-02호,제2026-02호
R26BK01324893,000,0,000,범죄예방 및 이주관리 용역,R26BK01324893000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000112832,초량1구역가로주택정비사업조합,,UN00000530537,최귀종,2026-02-23 11:00:00,,202602-02,202602-02
R26BK01324859,000,0,000,정비사업전문관리업자 용역,R26BK01324859000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000112832,초량1구역가로주택정비사업조합,,UN00000530537,최귀종,2026-02-23 11:00:00,,202602-01,202602-01
R26BK01324334,000,0,000,2026년도 대학정보보호동아리KUCIS 행사 및 교육 지원 용역,R26BK01324334000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000073440,한국정보보호산업협회,,UN00000213619,신지혜,2026-02-24 11:00:00,,교육기획팀-55,교육기획팀-55
R26BK01324591,000,0,000,수의계약을 위한 우선협상대상 시공자 선정 공고 4차,R26BK01324591000,공400001,등록공고,조070004,공사,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000096016,태평2가 가로주택정비사업조합,,UN00000479246,김경희,2026-02-27 18:00:00,,2026-04,2026-04
R26BK01324468,001,1,000,2025년 상품화기반구축지원사업 자동셋팅 오픈박스 제함기 물품구매 입찰,R26BK01324468001,공400002,변경공고,조070001,물품,입180002,전자입찰,계030003,제한경쟁,낙030021,최저가낙찰제,IN0000000013838,임실군조합공동사업법인 농산물산지유통센터,,UN00000566255,박창식,2026-02-13 11:00:00,,2026-01,2026-01
R26BK01324423,001,0,000,재공고 - 2026시즌 부산아이파크 경기 관람 환경 개선,R26BK01324423001,공400004,재공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000077095,에이치디씨스포츠 주식회사,,UN00000109451,김현호,2026-02-20 15:00:00,,BIFC2604,BIFC2604
R26BK01324416,001,0,000,재공고 - 2026시즌 부산아이파크 홈경기 청소 용역,R26BK01324416001,공400004,재공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000077095,에이치디씨스포츠 주식회사,,UN00000109451,김현호,2026-02-20 15:15:00,,BIFC2606,BIFC2606
R26BK01323291,000,0,000,예비 사업시행자 신탁사 선정 입찰공고,R26BK01323291000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0000000013687,수택A구역도심복합개발추진준비위원회,,UN00000556447,서강연,2026-02-11 11:00:00,,제2026-02호,제2026-02호
R26BK01323396,001,0,000,「K리그 유스 교육방법론 및 디렉팅 체계 도입」용역,R26BK01323396001,공400002,변경공고,조070002,용역,입180001,직찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000075693,(사)한국프로축구연맹,,UN00000107560,노진근,2026-02-19 14:00:00,,유스지원-260206,유스지원-260206
R26BK01323461,000,0,000,범죄예방 및 이주관리/세입자조사/ 업체 선정 입찰공고,R26BK01323461000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014032,가능4구역 재개발정비사업조합,,UN00000399403,서용엄,2026-02-24 17:00:00,,제20260206-13호,제20260206-13호
R26BK01323459,000,0,000,환경 및 재해영향평가 업체 선정 입찰공고,R26BK01323459000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014032,가능4구역 재개발정비사업조합,,UN00000399403,서용엄,2026-02-24 16:00:00,,제20260206-12호,제20260206-12호
R26BK01323456,000,0,000,친환경 분야 협력업체 선정 입찰공고,R26BK01323456000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014032,가능4구역 재개발정비사업조합,,UN00000399403,서용엄,2026-02-24 15:00:00,,제20260206-11호,제20260206-11호
R26BK01323452,000,0,000,측량분야 협력업체 선정 입찰공고,R26BK01323452000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014032,가능4구역 재개발정비사업조합,,UN00000399403,서용엄,2026-02-24 12:00:00,,제20260206-10호,제20260206-10호
R26BK01323449,000,0,000,감정평가법인 등 협력업체 선정 입찰공고,R26BK01323449000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014032,가능4구역 재개발정비사업조합,,UN00000399403,서용엄,2026-02-24 11:00:00,,제20260206-09호,제20260206-09호
R26BK01323442,000,0,000,토목분야 업체 선정 입찰공고,R26BK01323442000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014032,가능4구역 재개발정비사업조합,,UN00000399403,서용엄,2026-02-23 18:00:00,,제20260206-08호,제20260206-08호
R26BK01323441,000,0,000,전기·통신·소방설계업체 선정 입찰공고,R26BK01323441000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014032,가능4구역 재개발정비사업조합,,UN00000399403,서용엄,2026-02-23 17:00:00,,제20260206-07호,제20260206-07호
R26BK01323434,000,0,000,교통영향평가·경관·정비기반시설 설계업체 선정 입찰공고,R26BK01323434000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014032,가능4구역 재개발정비사업조합,,UN00000399403,서용엄,2026-02-23 16:00:00,,제20260206-06호,제20260206-06호
R26BK01323431,000,0,000,석면 사전조사 및 석면 농도측정 용역업체 선정 입찰공고,R26BK01323431000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014032,가능4구역 재개발정비사업조합,,UN00000399403,서용엄,2026-02-23 15:00:00,,제20260206-05호,제20260206-05호
R26BK01323427,000,0,000,국공유지 무상양도 및 임대주택 매각금액 산정 업체 입찰공고,R26BK01323427000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014032,가능4구역 재개발정비사업조합,,UN00000399403,서용엄,2026-02-23 12:00:00,,제20260206-04호,제20260206-04호
R26BK01323417,000,0,000,도시계획 및 시공사 선정용 성능요구서·품질사양서 작성업체 선정 입찰공고,R26BK01323417000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014032,가능4구역 재개발정비사업조합,,UN00000399403,서용엄,2026-02-23 11:00:00,,제20260206-03호,제20260206-03호
R26BK01323354,000,1,000,강원 그냥드림 시범사업 구매 물품 업체 선정 입찰,R26BK01323354000,공400001,등록공고,조070001,물품,입180002,전자입찰,계030003,제한경쟁,낙030001,적격심사제,IN0100000108157,강릉중앙재단 강원광역푸드뱅크,,UN00000541389,최왕순,2026-02-23 15:00:00,,강원광역기부식품등지원센터공고제2026-2호,강원광역기부식품등지원센터공고제2026-2호
R26BK01323231,000,0,000,2026년도 정기총회 홍보 업무를 위한 용역업체 선정 입찰공고,R26BK01323231000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000090129,천호4촉진구역도시환경정비사업,,CM027476G0002,오준섭,2026-02-12 15:00:00,,공고제2026-5호,공고제2026-5호
R26BK01323191,000,0,000,2026년 남양주시교통약자이동지원센터 직원 단체상해보험,R26BK01323191000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030021,최저가낙찰제,IN0100000104374,남양주시 교통약자이동지원센터,,UN00000581246,김성훈,2026-02-13 18:30:00,,교통약자이동지원센터공고용역제2026-001호,교통약자이동지원센터공고용역제2026-001호
R26BK01322005,000,0,000,회계·세무 용역업체 선정 입찰공고,R26BK01322005000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014095,염리동 488-14번지 일대 주택정비형 재개발사업 조합설립추진위원회,,UN00000578714,권순자,2026-02-24 16:00:00,,공고제2026-04호,공고제2026-04호
R26BK01321981,000,0,000,설계자 선정 입찰공고,R26BK01321981000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014095,염리동 488-14번지 일대 주택정비형 재개발사업 조합설립추진위원회,,UN00000578714,권순자,2026-02-24 16:00:00,,공고제2026-03호,공고제2026-03호
R26BK01321964,000,0,000,정비사업전문관리업자 선정 입찰공고,R26BK01321964000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014095,염리동 488-14번지 일대 주택정비형 재개발사업 조합설립추진위원회,,UN00000578714,권순자,2026-02-24 16:00:00,,공고제2026-02호,공고제2026-02호
R26BK01323141,000,1,000,대구연호 공공주택지구 조성공사 현장 고철 매각,R26BK01323141000,공400001,등록공고,조070001,물품,입180002,전자입찰,계030001,일반경쟁,낙030027,최고가,IN0100000119624,금광기업(주),,UN00000213212,최영우,2026-02-12 17:00:00,,26-003,26-003
R26BK01323068,000,0,000,향림아파트지구재건축 분양광고 및 분양인력 용역 공고,R26BK01323068000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000108876,향림아파트지구주택재건축정비사업조합,,UN00000290502,조장환,2026-02-23 18:00:00,,20260206,20260206
R26BK01322967,000,0,000,휴먼스카이밸리 관리업자 선정,R26BK01322967000,공400001,등록공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030001,적격심사제,IN0100000063567,휴먼스카이밸리 관리단,,UN00000423470,김대근,2026-02-26 17:00:00,,20260206,20260206
R26BK01322922,000,0,000,학익장미아파트 재건축사업 조합설립을 위한 총괄기획용역업체 선정,R26BK01322922000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000011317,학익장미아파트 재건축사업 조합설립추진위원회,,UN00000475121,박래삼,2026-02-23 16:00:00,,2026-1호,2026-1호
R26BK01322795,000,0,000,광안5구역 재개발정비사업조합 시공자 선정 입찰 2차 공고,R26BK01322795000,공400001,등록공고,조070004,공사,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0000000012844,광안5구역 재개발정비사업조합,,UN00000356004,박재용,2026-03-13 15:00:00,,광안5구역재개발정비사업조합공고제2026-02-06-01호,광안5구역재개발정비사업조합공고제2026-02-06-01호
R26BK01322587,000,0,000,소유권보존등기 등을 위한 협력업체 선정 입찰 공고,R26BK01322587000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000085157,양덕4구역 주택재개발정비사업조합,,UN00000151522,최선희,2026-02-24 17:00:00,,양덕4구역주택재개발정비사업조합공고제2026-003호,양덕4구역주택재개발정비사업조합공고제2026-003호
R26BK01322531,000,0,000,하나금융그룹 유아 AI코딩 새싹교실 홍보 콘텐츠 기획 및 운영 대행 용역,R26BK01322531000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000088328,사단법인 사피엔스4.0,,CM025528G0002,김태윤,2026-02-20 11:00:00,,SA26_0002,SA26_0002
R26BK01322520,000,0,000,범천4구역 정보통신공사 감리 용역업체 선정 공고,R26BK01322520000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000105975,범천4구역주택재개발정비사업조합,,UN00000315108,김민재,2026-02-24 15:00:00,,범천4구역주택재개발정비사업조합공고제2026-02-08호,범천4구역주택재개발정비사업조합공고제2026-02-08호
R26BK01322508,000,0,000,범천4구역 정비기반시설 감리 용역업체 선정 공고,R26BK01322508000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000105975,범천4구역주택재개발정비사업조합,,UN00000315108,김민재,2026-02-24 15:00:00,,범천4구역주택재개발정비사업조합공고제2026-02-07호,범천4구역주택재개발정비사업조합공고제2026-02-07호
R26BK01309953,001,0,000,HUG보증서 발급업무 선정,R26BK01309953001,공400002,변경공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000098910,서울서부중앙시장정비사업조합,,UN00000575825,박준협,2026-02-10 11:00:00,,2026-0202-06,2026-0202-06
R26BK01322496,000,0,000,범천4구역 석면해체ㆍ제거 감리 용역업체 선정 공고,R26BK01322496000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000105975,범천4구역주택재개발정비사업조합,,UN00000315108,김민재,2026-02-24 15:00:00,,범천4구역주택재개발정비사업조합공고제2026-02-06호,범천4구역주택재개발정비사업조합공고제2026-02-06호
R26BK01322471,000,0,000,하나금융그룹 유아 AI코딩 새싹교실 교구 및 커리큘럼  제안·공급 용역,R26BK01322471000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000088328,사단법인 사피엔스4.0,,CM025528G0002,김태윤,2026-02-20 11:00:00,,SA26_0001,SA26_0001
R26BK01322474,000,0,000,범천4구역 석면 농도측정/비산측정 포함 용역업체 선정,R26BK01322474000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000105975,범천4구역주택재개발정비사업조합,,UN00000315108,김민재,2026-02-24 15:00:00,,범천4구역주택재개발정비사업조합공고제2026-02-05호,범천4구역주택재개발정비사업조합공고제2026-02-05호
R26BK01322460,000,0,000,범천4구역 건축물 해체계획서 작성 및 인ㆍ허가 용역업체 선정,R26BK01322460000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000105975,범천4구역주택재개발정비사업조합,,UN00000315108,김민재,2026-02-24 15:00:00,,범천4구역주택재개발정비사업조합공고제2026-02-04호,범천4구역주택재개발정비사업조합공고제2026-02-04호
R26BK01322433,000,0,000,범천4구역 풍동실험 용역업체 선정,R26BK01322433000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000105975,범천4구역주택재개발정비사업조합,,UN00000315108,김민재,2026-02-24 15:00:00,,범천4구역주택재개발정비사업조합공고제2026-02-03호,범천4구역주택재개발정비사업조합공고제2026-02-03호
R26BK01322403,000,0,000,범천4구역 국ㆍ공유지 매수대행 용역업체 선정 공고,R26BK01322403000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000105975,범천4구역주택재개발정비사업조합,,UN00000315108,김민재,2026-02-24 15:00:00,,범천4구역주택재개발정비사업조합공고제2026-02-01호,범천4구역주택재개발정비사업조합공고제2026-02-01호
R26BK01322404,000,0,000,26년 국내 전시 용역 업체 선정의건,R26BK01322404000,공400001,등록공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000086382,한국항공우주산업주식회사,,UN00000192397,김재호,2026-03-06 12:00:00,,K-260206-0003,K-260206-0003
