bid_pbanc_no,bid_pbanc_ord,bid_clsf_no,bid_prgrs_ord,bid_pbanc_nm,bid_pbanc_num,pbanc_stts_cd,pbanc_stts_cd_nm,prcm_bsne_se_cd,prcm_bsne_se_cd_nm,bid_mthd_cd,bid_mthd_cd_nm,std_ctrt_mthd_cd,std_ctrt_mthd_cd_nm,scsbd_mthd_cd,scsbd_mthd_cd_nm,pbanc_inst_unty_grp_no,pbanc_inst_unty_grp_no_nm,grp_nm,pic_id,pic_id_nm,bid_blff_id,bid_blff_id_nm,bsne_tlph_no,bsne_fax_no,bsne_eml,pbanc_pstg_dt,slpr_rcpt_bgng_dt,slpr_rcpt_ddln_dt,onbs_prnmnt_dt,bid_qlfc_reg_dt,onbs_plac_nm,zip,base_addr,dtl_addr,unty_addr,edoc_no,usr_doc_no_val,rbid_prms_yn,pbanc_pstg_yn,rgn_lmt_yn,lcns_lmt_yn,pnpr_use_yn,pnpr_rls_yn,unty_atch_file_no
R26BK01325904,000,0,000,구조분야 관계기술자협업건축구조 용역업체 선정을 위한 입찰 공고,R26BK01325904000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030021,최저가낙찰제,IN0100000089136,외동주공아파트 재건축정비사업조합,외동주공아파트 재건축정비사업조합,UN00000265798,이혜민,UN00000265798,이혜민,0553281000,07082751001,jg3281000@naver.com,2026-02-09 16:33:01,2026-02-09 16:40:00,2026-02-19 14:00:00,2026-02-19 15:00:00,2026-02-19 14:00:00,당 조합사무실 업무용 PC(전자개찰로 갈음),50894,경상남도 김해시 금관대로1193번길,12-1 (외동) 2층,경상남도 김해시 금관대로1193번길 12-1 (외동) 2층,외동주공아파트재건축정비사업조합공고제2026-02-09-2호,외동주공아파트재건축정비사업조합공고제2026-02-09-2호,True,True,False,False,False,False,8fb2eccb-dfad-4066-9576-1caa28d6b51a
R26BK01326409,003,0,000,금호타운아파트 재건축정비사업 정비사업전문관리업자 선정,R26BK01326409003,공400003,취소공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014004,금호타운아파트 재건축정비사업 조합설립추진위원회,금호타운아파트 재건축정비사업 조합설립추진위원회,UN00000569910,박기환,UN00000569910,박기환,0316893704,0316893705,hwan7010@naver.com,2026-02-09 16:25:43,2026-02-09 16:10:00,2026-02-23 10:00:00,2026-02-23 11:00:00,2026-02-22 18:00:00,추진위원회 사무실,14017,경기도 안양시 만안구 삼봉로,65 (박달동),경기도 안양시 만안구 삼봉로 65 (박달동),2026-02,2026-02,True,True,False,False,False,False,
R26BK01326603,000,0,000,2종 시설물 역사 정밀안전점검 용역,R26BK01326603000,공400001,등록공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030021,최저가낙찰제,IN0100000072379,부산-김해경전철주식회사,부산-김해경전철주식회사,CM009491G0002,박장우,CM009491G0002,박장우,0553109037,0553109043,jangwoo.park@bglrt.com,2026-02-09 16:23:57,,,2026-02-27 14:00:00,,부산-김해경전철(주) 3층 경영지원처(김해시 생림대로 38),50830,경상남도 김해시 생림대로,38-0 (삼계동),경상남도 김해시 생림대로 38-0 (삼계동),부산-김해경전철입찰공고제2026-003호,부산-김해경전철입찰공고제2026-003호,True,True,True,True,True,True,196d97cf-5d34-40cb-8310-9b254fa33ce8
R26BK01326490,000,0,000,통합 전자문서 구축 용역 RFP,R26BK01326490000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0000000014063,주식회사 잇올,주식회사 잇올,UN00000577067,이상훈,UN00000577067,이상훈,01056735944,050526735943,itallsevenoffice@gmail.com,2026-02-09 16:11:57,2026-02-10 06:00:00,2026-02-27 17:00:00,2026-02-27 18:00:00,2026-02-26 18:00:00,개별통지,12418,경기도 가평군 가평읍 보납로18번길,14,경기도 가평군 가평읍 보납로18번길 14,문서번호ia2026-0209-0110,문서번호ia2026-0209-0110,True,True,False,False,False,False,d6ed41f6-0c6b-4c73-8f60-377f7a773b78
R26BK01326326,001,0,000,금호타운아파트 재건축정비사업 설계자 선정,R26BK01326326001,공400002,변경공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014004,금호타운아파트 재건축정비사업 조합설립추진위원회,금호타운아파트 재건축정비사업 조합설립추진위원회,UN00000569910,박기환,UN00000569910,박기환,0316893704,0316893705,hwan7010@naver.com,2026-02-09 16:09:49,2026-02-09 16:00:00,2026-02-23 10:00:00,2026-02-23 11:00:00,2026-02-22 18:00:00,추진위원회 사무실,14017,경기도 안양시 만안구 삼봉로,65 (박달동),경기도 안양시 만안구 삼봉로 65 (박달동),2026-01,2026-01,True,True,False,False,False,False,ffa84483-ece9-4666-bf9d-a4b40bee6fc7
R26BK01326451,000,0,000,K리그 통합 데이터포털 위탁 유지보수 운영,R26BK01326451000,공400004,재공고,조070002,용역,입180001,직찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000075693,(사)한국프로축구연맹,(사)한국프로축구연맹,UN00000470950,심규성,UN00000470950,심규성,01058790759,,sks1206@kleague.com,2026-02-09 15:58:11,,,2026-02-19 11:00:00,,한국프로축구연맹 사무실,03175,서울특별시 종로구 경희궁길,46-0 (신문로2가) 축구회관5층,서울특별시 종로구 경희궁길 46-0 (신문로2가) 축구회관5층,20260209,20260209,True,True,False,False,False,True,5cb34f72-379d-4829-99a5-b9ccd27db02a
R26BK01326281,000,0,000,2026년 문학경기장 소방시설 종합점검 용역,R26BK01326281000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030003,제한경쟁,낙030027,최고가,IN0100000090739,(주)아스타아이비에스,(주)아스타아이비에스,UN00000192458,유정서,UN00000192458,유정서,0322007517,,totoro0725@naver.com,2026-02-09 15:35:48,2026-02-10 10:00:00,2026-02-20 10:00:00,2026-02-20 11:00:00,2026-02-19 18:00:00,누리장터 계약담당자PC,08298,서울특별시 구로구 공원로,3-0 (구로동) 선경오피스텔 1층,서울특별시 구로구 공원로 3-0 (구로동) 선경오피스텔 1층,2026-01,2026-01,True,True,True,True,True,False,0de72d40-fddf-419f-b3fc-dfdf4a3327bc
R26BK01326247,000,0,000,KAI 26년 지속가능성보고서 기후 공시 대응 용역 업체 선정의 건,R26BK01326247000,공400001,등록공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030021,최저가낙찰제,IN0100000086382,한국항공우주산업주식회사,한국항공우주산업주식회사,UN00000172578,박경우,UN00000172578,박경우,01030662981,,ppk0115@naver.com,2026-02-09 15:28:51,,,2026-02-23 12:00:00,,한국항공(주) 본사,52529,경상남도 사천시 사남면 공단1로,78 한국항공우주산업주식회사,경상남도 사천시 사남면 공단1로 78 한국항공우주산업주식회사,20260209B,20260209B,True,True,False,False,False,False,645eb527-bbeb-4f63-852a-adfcfd020b65
R26BK01326177,000,0,000,협약기업 직무분석 및 훈련과정 개발 용역,R26BK01326177000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000067700,한국광산업진흥회,한국광산업진흥회,UN00000322820,김효진,UN00000322820,김효진,0626059651,0626059650,mmkk12@kapid.org,2026-02-09 15:18:37,2026-02-09 15:40:00,2026-02-26 15:00:00,2026-03-05 16:00:00,2026-02-25 18:00:00,조달청 누리장터,61008,광주광역시 북구 첨단벤처로,108-9 한국광산업진흥회,광주광역시 북구 첨단벤처로 108-9 한국광산업진흥회,인력양성팀-60,인력양성팀-60,True,True,False,True,False,False,9f4e5c4d-6867-49bb-bffc-85e369e45be3
R26BK01325918,001,0,000,부평2구역 공고,R26BK01325918001,공400003,취소공고,조070004,공사,입180001,직찰,계030001,일반경쟁,낙030027,최고가,IN0100000084888,부평2구역주택재개발정비사업조합,부평2구역주택재개발정비사업조합,CM021850G0002,송승희,CM021850G0002,송승희,0325242252,0325242253,qnvud2@daum.net,2026-02-09 14:49:18,,,2026-02-10 17:00:00,,부평2구역 주택재개발정비사업조합,21408,인천광역시 부평구 부영로,42-0 (부평동) 2층,인천광역시 부평구 부영로 42-0 (부평동) 2층,부평2-2026-0209,부평2-2026-0209,False,True,False,False,False,True,
R26BK01325816,000,0,000,도곡우성아파트 토목분야 용역 업체 선정 입찰 공고,R26BK01325816000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000002577,도곡우성아파트 재건축정비사업조합,도곡우성아파트 재건축정비사업조합,UN00000381425,유인석,UN00000381425,유인석,01077647359,0234637771,dogok-ryu@hanmail.net,2026-02-09 14:29:01,2026-02-09 15:00:00,2026-02-23 15:00:00,2026-02-23 16:00:00,2026-02-22 18:00:00,"조합사무실(서울 강남구 남부순환로363길 49, 상가동 203호)",06264,서울특별시 강남구 남부순환로363길,"49 (도곡동, 도곡우성아파트(상가)), 203호","서울특별시 강남구 남부순환로363길 49 (도곡동, 도곡우성아파트(상가)), 203호",제2026-03호,제2026-03호,False,True,False,False,False,False,a75564d0-d7f5-4048-9b2f-f6ad896422e9
R26BK01325693,000,0,000,도곡우성아파트 환경 및 재해영향평가 업체 선정 입찰 공고,R26BK01325693000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000002577,도곡우성아파트 재건축정비사업조합,도곡우성아파트 재건축정비사업조합,UN00000381425,유인석,UN00000381425,유인석,01077647359,0234637771,dogok-ryu@hanmail.net,2026-02-09 14:16:27,2026-02-09 14:30:00,2026-02-23 14:00:00,2026-02-23 15:00:00,2026-02-22 18:00:00,"조합사무실(서울 강남구 남부순환로 363길 49, 상가동 203호)",06264,서울특별시 강남구 남부순환로363길,"49 (도곡동, 도곡우성아파트(상가)), 203호","서울특별시 강남구 남부순환로363길 49 (도곡동, 도곡우성아파트(상가)), 203호",제2026-02호,제2026-02호,False,True,False,False,False,False,7b4e1ba5-c39e-4bae-b53c-c7c44efc0db5
T26BK01325021,000,0,000,강서구와 함께하는OKTA 45주년 OK Live K-POP 콘서트,T26BK01325021000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0000000014084,(사)세계한인경제무역협회,(사)세계한인경제무역협회,UN00000580340,원동민,UN00000580340,원동민,01091488411,,dmwon@okta.net,2026-02-09 14:15:29,2026-02-09 15:00:00,2026-02-16 16:00:00,2026-02-16 17:00:00,2026-02-15 18:00:00,전자조달시스템(누리장터),07242,서울특별시 영등포구 은행로,30 (여의도동),서울특별시 영등포구 은행로 30 (여의도동),20260209,20260209,True,True,False,False,False,False,7b2711db-ebfa-429b-af76-4daa8e7834fd
R26BK01325661,000,0,000,설계자 선정을 위한 입찰공고,R26BK01325661000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000119824,벧엘아파트 소규모재건축사업조합,벧엘아파트 소규모재건축사업조합,UN00000563351,이승호,UN00000563351,이승호,,,bethel_2023@naver.com,2026-02-09 14:11:17,2026-02-20 16:00:00,2026-02-27 14:00:00,2026-02-27 15:00:00,2026-02-26 18:00:00,조합사무실,47516,부산광역시 연제구 거제천로255번길,"53, 지하층(거제동, 벧엘아파트)","부산광역시 연제구 거제천로255번길 53, 지하층(거제동, 벧엘아파트)",벧엘조합공고제260209-01호,벧엘조합공고제260209-01호,True,True,False,False,False,False,d58b482e-6b4d-4c1a-bc82-b927b036b460
T26BK01325645,000,0,000,부곡주공1단지 재건축 정비사업 시공자 선정 입찰공고,T26BK01325645000,공400001,등록공고,조070004,공사,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000129841,부곡주공1단지 주택재건축정비사업조합,부곡주공1단지 주택재건축정비사업조합,UN00000260470,김영호,UN00000260470,김영호,,,cyver8300@naver.com,2026-02-09 14:04:17,2026-02-09 15:00:00,2026-03-09 14:00:00,2026-03-09 14:00:00,2026-03-09 14:00:00,"조합사무실 ( 경상북도 김천시 송설로 32, 상가동 104호 )",39634,경상북도 김천시 송설로,"32-0 (부곡동, 주공아파트), 상가 104,105호","경상북도 김천시 송설로 32-0 (부곡동, 주공아파트), 상가 104,105호",부곡주공1단지재건축정비사업조합제2026-0209-01호,부곡주공1단지재건축정비사업조합제2026-0209-01호,True,True,False,False,False,False,9d10de3c-def4-4743-8ab8-ca476d3c5d71
R26BK01325404,000,0,000,정비사업전문관리업체 선정 입찰 재공고,R26BK01325404000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000013665,남구 신정1구역재개발사업조합설립추진위원회,남구 신정1구역재개발사업조합설립추진위원회,UN00000555005,남정필,UN00000555005,남정필,0522723736,0522691160,nam1133@kakao.net,2026-02-09 13:35:53,2026-02-09 16:00:00,2026-02-23 16:00:00,2026-02-23 17:00:00,2026-02-22 18:00:00,"추진위원회 사무실 : 울산 남구 거마로104번길 16, 1층",44651,울산광역시 남구 거마로104번길,16 (신정동),울산광역시 남구 거마로104번길 16 (신정동),신정1구역재개발사업공고2026-003호,신정1구역재개발사업공고2026-003호,False,True,False,False,False,False,1ba6ae2d-511b-464e-9231-66736a021e81
R26BK01325377,000,0,000,2026 KBL 유스 Y리그 중계방송 제작,R26BK01325377000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000075155,사단법인 케이비엘,사단법인 케이비엘,UN00000439538,박주진,UN00000439538,박주진,0221063016,,jooo999@kbl.or.kr,2026-02-09 13:28:04,2026-02-09 14:00:00,2026-03-23 14:00:00,2026-03-23 15:00:00,2026-03-22 18:00:00,KBL센터 6층,06038,서울특별시 강남구 도산대로,"110-0 (논현동) 케이비엘센터 5, 6층","서울특별시 강남구 도산대로 110-0 (논현동) 케이비엘센터 5, 6층",202602,202602,True,True,False,False,False,False,baaebccb-865a-456f-82b1-421a3b5d4474
R26BK01325148,000,0,000,정비사업전문관리업체 선정 입찰 공고,R26BK01325148000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000111041,신암4재정비촉진구역주택재개발정비사업조합,신암4재정비촉진구역주택재개발정비사업조합,UN00000337718,구영애,UN00000337718,구영애,,,shinam.4@hanmail.net,2026-02-09 12:40:23,2026-02-09 14:00:00,2026-02-24 14:00:00,2026-02-24 15:00:00,2026-02-24 14:00:00,"대구시 동구 큰고개로 29, 2층. 신암4재정비촉진구역 주택재개발정비사업조합",41193,대구광역시 동구 큰고개로,23 다동 202호(신암보성타운상가),대구광역시 동구 큰고개로 23 다동 202호(신암보성타운상가),제2026-01호,제2026-01호,True,True,False,False,False,False,001485c1-b0ad-40b1-8c9c-155dbdfdc365
R26BK01325128,000,0,000,가설휀스 및 공사현장 내부 유지관리업체 선정 입찰공고,R26BK01325128000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000087586,십정3구역주택재개발정비사업조합,십정3구역주택재개발정비사업조합,CM024643G0001,김다슬,CM024643G0001,김다슬,0324269982,0324269980,sipjjeong3@naver.com,2026-02-09 12:28:17,2026-02-09 13:00:00,2026-02-20 11:00:00,2026-02-20 12:00:00,2026-02-19 18:00:00,"인천 부평구 안남로 70, 4층",21405,인천광역시 부평구 안남로,"70, 4층 (부평동,승룡빌딩)","인천광역시 부평구 안남로 70, 4층 (부평동,승룡빌딩)",제2026-8호,제2026-8호,True,True,False,False,False,False,997d4ec1-0f65-4dcf-aa24-4ab115766a86
R26BK01311849,001,1,000,2026년 화공약품 구매 단가계약,R26BK01311849001,공400002,변경공고,조070001,물품,입180002,전자입찰,계030003,제한경쟁,낙030021,최저가낙찰제,IN0100000110367,인천공항에너지 주식회사,인천공항에너지 주식회사,UN00000569693,이지혜,UN00000569693,이지혜,0324500624,0327514610,wwq55@iae.co.kr,2026-02-09 11:48:38,2026-02-10 10:00:00,2026-02-19 16:00:00,2026-02-20 10:00:00,2026-02-10 10:00:00,입찰담당자 PC,22379,인천광역시 중구 영종해안북로1050번길,78-43 (운서동) 인천공항에너지,인천광역시 중구 영종해안북로1050번길 78-43 (운서동) 인천공항에너지,2026-구매-제003호,2026-구매-제003호,False,True,False,True,False,False,1491dd0c-abf7-4088-b5f3-9950ea70bbbf
R26BK01324978,000,0,000,용호1구역 설계자 선정 입찰공고,R26BK01324978000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000013774,용호1구역 재개발정비사업조합설립추진위원회,용호1구역 재개발정비사업조합설립추진위원회,UN00000562361,박두춘,UN00000562361,박두춘,0516286665,0516286657,pc6655@hanmail.net,2026-02-09 11:23:49,2026-02-09 12:00:00,2026-03-03 16:00:00,2026-03-03 17:00:00,2026-03-02 18:00:00,추진위원회 사무실,48523,부산광역시 남구 용호로76번길,"32, 3층 (용호동)","부산광역시 남구 용호로76번길 32, 3층 (용호동)",제2026-03호,제2026-03호,True,True,False,False,False,False,18c11aa1-0b02-4a11-a5a1-e71871ff3b8d
R26BK01324952,000,0,000,KAI 2026년 공통직 1년차 역할역량 교육 업체 선정의 건,R26BK01324952000,공400001,등록공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000086382,한국항공우주산업주식회사,한국항공우주산업주식회사,UN00000172578,박경우,UN00000172578,박경우,01030662981,,ppk0115@naver.com,2026-02-09 11:18:16,,,2026-02-25 12:00:00,,한국항공(주) 본사,52529,경상남도 사천시 사남면 공단1로,78 한국항공우주산업주식회사,경상남도 사천시 사남면 공단1로 78 한국항공우주산업주식회사,20250209A,20250209A,True,True,False,False,False,False,2e2212ee-4881-4e52-8598-c5501d23d975
R26BK01324836,000,0,000,용호1구역 정비사업전문관리업자 선정 입찰공고,R26BK01324836000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000013774,용호1구역 재개발정비사업조합설립추진위원회,용호1구역 재개발정비사업조합설립추진위원회,UN00000562361,박두춘,UN00000562361,박두춘,0516286665,0516286657,pc6655@hanmail.net,2026-02-09 11:14:23,2026-02-09 11:30:00,2026-03-03 15:00:00,2026-03-03 16:00:00,2026-03-02 18:00:00,추진위원회 사무실,48523,부산광역시 남구 용호로76번길,"32, 3층 (용호동)","부산광역시 남구 용호로76번길 32, 3층 (용호동)",제2026-02호,제2026-02호,True,True,False,False,False,False,c74722f6-a4c7-499c-a479-28eb6b4dc3cc
R26BK01324893,000,0,000,범죄예방 및 이주관리 용역,R26BK01324893000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000112832,초량1구역가로주택정비사업조합,초량1구역가로주택정비사업조합,UN00000530537,최귀종,UN00000530537,최귀종,0514672525,0514672526,mpa02@naver.com,2026-02-09 11:09:13,2026-02-09 11:15:00,2026-02-20 17:00:00,2026-02-23 11:00:00,2026-02-19 18:00:00,초량1구역 가로주택정비사업조합 사무실,48794,부산광역시 동구 고관로29번길,30-0 (초량동),부산광역시 동구 고관로29번길 30-0 (초량동),202602-02,202602-02,True,True,False,False,False,False,8bb48861-42ef-4e13-9da9-9757bb6e3251
