bid_pbanc_no,bid_pbanc_ord,bid_clsf_no,bid_prgrs_ord,bid_pbanc_nm,bid_pbanc_num,pbanc_stts_cd,pbanc_stts_cd_nm,prcm_bsne_se_cd,prcm_bsne_se_cd_nm,bid_mthd_cd,bid_mthd_cd_nm,std_ctrt_mthd_cd,std_ctrt_mthd_cd_nm,scsbd_mthd_cd,scsbd_mthd_cd_nm,grp_nm,pbanc_pstg_dt,slpr_rcpt_ddln_dt,pbanc_knd_cd,pbanc_knd_cd_nm,pbanc_stts_grid_cd_nm,row_num,tot_cnt,current_page,record_count_per_page,next_row_yn,edoc_no,usr_doc_no_val,pbanc_inst_unty_grp_no,pbanc_pstg_yn,pbanc_dscr_trgt_yn,slpr_rcpt_bgng_yn,slpr_rcpt_ddln_yn,onbs_prnmnt_yn,bid_qlfc_end_yn,pbanc_bfss_yn,bid_pbanc_pgst_cd,bid_pbanc_pgst_cd_nm,sfbr_slctn_ord,sfbr_slctn_rslt_cd,doc_sbmsn_ddln_dt,cvln_qlem_crtr_no,cvln_qlem_pgst_cd,objtdmd_term_dt,bdng_amt_yn_nm,slpr_rcpt_ddln_dt1
R26BK01326490,000,0,000,통합 전자문서 구축 용역 RFP,R26BK01326490000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,주식회사 잇올,2026-02-09 16:11:00,2026-02-27 17:00:00,공440002,실공고,입찰개시,16,49943,1,20,True,문서번호ia2026-0209-0110,문서번호ia2026-0209-0110,IN0000000014063,True,False,False,False,False,False,False,입160003,,,,,,,,,
R26BK01326326,001,0,000,금호타운아파트 재건축정비사업 설계자 선정,R26BK01326326001,공400002,변경공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,금호타운아파트 재건축정비사업 조합설립추진위원회,2026-02-09 16:09:00,2026-02-23 10:00:00,공440002,실공고,입찰개시,17,49943,1,20,True,2026-01,2026-01,IN0000000014004,True,False,True,False,False,False,False,입160003,,,,,202412261313,민020000,,,
R26BK01326451,000,0,000,K리그 통합 데이터포털 위탁 유지보수 운영,R26BK01326451000,공400004,재공고,조070002,용역,입180001,직찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,(사)한국프로축구연맹,2026-02-09 15:58:00,,공440002,실공고,입찰개시,18,49943,1,20,True,20260209,20260209,IN0100000075693,True,False,True,True,False,False,False,입160003,,,,,,,,,
R26BK01326281,000,0,000,2026년 문학경기장 소방시설 종합점검 용역,R26BK01326281000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030003,제한경쟁,낙030027,최고가,(주)아스타아이비에스,2026-02-09 15:35:00,2026-02-20 10:00:00,공440002,실공고,입찰개시,19,49943,1,20,True,2026-01,2026-01,IN0100000090739,True,False,False,False,False,False,False,입160003,,,,,,,,,
R26BK01326247,000,0,000,KAI 26년 지속가능성보고서 기후 공시 대응 용역 업체 선정의 건,R26BK01326247000,공400001,등록공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030021,최저가낙찰제,한국항공우주산업주식회사,2026-02-09 15:28:00,,공440002,실공고,입찰개시,20,49943,1,20,True,20260209B,20260209B,IN0100000086382,True,False,True,True,False,False,False,입160003,,,,,,,,,
R26BK01326177,000,0,000,협약기업 직무분석 및 훈련과정 개발 용역,R26BK01326177000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,한국광산업진흥회,2026-02-09 15:18:00,2026-02-26 15:00:00,공440002,실공고,입찰개시,21,49943,2,20,True,인력양성팀-60,인력양성팀-60,IN0100000067700,True,False,True,False,False,False,False,입160003,,,,,,,,,
R26BK01325918,001,0,000,부평2구역 공고,R26BK01325918001,공400003,취소공고,조070004,공사,입180001,직찰,계030001,일반경쟁,낙030027,최고가,부평2구역주택재개발정비사업조합,2026-02-09 14:49:00,,공440002,실공고,입찰개시,22,49943,2,20,True,부평2-2026-0209,부평2-2026-0209,IN0100000084888,True,False,True,True,False,False,False,입160003,,,,,,,,,
R26BK01325816,000,0,000,도곡우성아파트 토목분야 용역 업체 선정 입찰 공고,R26BK01325816000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,도곡우성아파트 재건축정비사업조합,2026-02-09 14:29:00,2026-02-23 15:00:00,공440002,실공고,입찰개시,23,49943,2,20,True,제2026-03호,제2026-03호,IN0000000002577,True,False,True,False,False,False,False,입160003,,,,,202412260183,민020000,,,
R26BK01325693,000,0,000,도곡우성아파트 환경 및 재해영향평가 업체 선정 입찰 공고,R26BK01325693000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,도곡우성아파트 재건축정비사업조합,2026-02-09 14:16:00,2026-02-23 14:00:00,공440002,실공고,입찰개시,24,49943,2,20,True,제2026-02호,제2026-02호,IN0000000002577,True,False,True,False,False,False,False,입160003,,,,,202412260183,민020000,,,
T26BK01325021,000,0,000,강서구와 함께하는OKTA 45주년 OK Live K-POP 콘서트,T26BK01325021000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,(사)세계한인경제무역협회,2026-02-09 14:15:00,2026-02-16 16:00:00,공440001,모의공고,입찰개시,25,49943,2,20,True,20260209,20260209,IN0000000014084,True,True,True,False,False,False,False,입160003,,,,,,,,,
R26BK01325661,000,0,000,설계자 선정을 위한 입찰공고,R26BK01325661000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,벧엘아파트 소규모재건축사업조합,2026-02-09 14:11:00,2026-02-27 14:00:00,공440002,실공고,입찰개시,26,49943,2,20,True,벧엘조합공고제260209-01호,벧엘조합공고제260209-01호,IN0100000119824,True,True,False,False,False,False,False,입160003,,,,,,,,,
T26BK01325645,000,0,000,부곡주공1단지 재건축 정비사업 시공자 선정 입찰공고,T26BK01325645000,공400001,등록공고,조070004,공사,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,부곡주공1단지 주택재건축정비사업조합,2026-02-09 14:04:00,2026-03-09 14:00:00,공440001,모의공고,입찰개시,27,49943,2,20,True,부곡주공1단지재건축정비사업조합제2026-0209-01호,부곡주공1단지재건축정비사업조합제2026-0209-01호,IN0100000129841,True,True,True,False,False,False,False,입160003,,,,,,,,,
R26BK01325404,000,0,000,정비사업전문관리업체 선정 입찰 재공고,R26BK01325404000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,남구 신정1구역재개발사업조합설립추진위원회,2026-02-09 13:35:00,2026-02-23 16:00:00,공440002,실공고,입찰개시,28,49943,2,20,True,신정1구역재개발사업공고2026-003호,신정1구역재개발사업공고2026-003호,IN0000000013665,True,False,True,False,False,False,False,입160003,,,,,202412260183,민020000,,,
R26BK01325377,000,0,000,2026 KBL 유스 Y리그 중계방송 제작,R26BK01325377000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,사단법인 케이비엘,2026-02-09 13:28:00,2026-03-23 14:00:00,공440002,실공고,입찰개시,29,49943,2,20,True,202602,202602,IN0100000075155,True,False,True,False,False,False,False,입160003,,,,,,,,,
R26BK01325148,000,0,000,정비사업전문관리업체 선정 입찰 공고,R26BK01325148000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,신암4재정비촉진구역주택재개발정비사업조합,2026-02-09 12:40:00,2026-02-24 14:00:00,공440002,실공고,입찰개시,30,49943,2,20,True,제2026-01호,제2026-01호,IN0100000111041,True,False,True,False,False,False,False,입160003,,,,,202412260183,민020000,,,
R26BK01325128,000,0,000,가설휀스 및 공사현장 내부 유지관리업체 선정 입찰공고,R26BK01325128000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,십정3구역주택재개발정비사업조합,2026-02-09 12:28:00,2026-02-20 11:00:00,공440002,실공고,입찰개시,31,49943,2,20,True,제2026-8호,제2026-8호,IN0100000087586,True,False,True,False,False,False,False,입160003,,,,,202412260183,민020000,,,
R26BK01311849,001,1,000,2026년 화공약품 구매 단가계약,R26BK01311849001,공400002,변경공고,조070001,물품,입180002,전자입찰,계030003,제한경쟁,낙030021,최저가낙찰제,인천공항에너지 주식회사,2026-02-09 11:48:00,2026-02-19 16:00:00,공440002,실공고,입찰개시,32,49943,2,20,True,2026-구매-제003호,2026-구매-제003호,IN0100000110367,True,False,False,False,False,False,False,입160003,,,,,,,,,
R26BK01324978,000,0,000,용호1구역 설계자 선정 입찰공고,R26BK01324978000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,용호1구역 재개발정비사업조합설립추진위원회,2026-02-09 11:23:00,2026-03-03 16:00:00,공440002,실공고,입찰개시,33,49943,2,20,True,제2026-03호,제2026-03호,IN0000000013774,True,True,True,False,False,False,False,입160003,,,,,202412260183,민020000,,,
R26BK01324952,000,0,000,KAI 2026년 공통직 1년차 역할역량 교육 업체 선정의 건,R26BK01324952000,공400001,등록공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,한국항공우주산업주식회사,2026-02-09 11:18:00,,공440002,실공고,입찰개시,34,49943,2,20,True,20250209A,20250209A,IN0100000086382,True,False,True,True,False,False,False,입160003,,,,,,,,,
R26BK01324836,000,0,000,용호1구역 정비사업전문관리업자 선정 입찰공고,R26BK01324836000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,용호1구역 재개발정비사업조합설립추진위원회,2026-02-09 11:14:00,2026-03-03 15:00:00,공440002,실공고,입찰개시,35,49943,2,20,True,제2026-02호,제2026-02호,IN0000000013774,True,True,True,False,False,False,False,입160003,,,,,202412260183,민020000,,,
R26BK01324893,000,0,000,범죄예방 및 이주관리 용역,R26BK01324893000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,초량1구역가로주택정비사업조합,2026-02-09 11:09:00,2026-02-20 17:00:00,공440002,실공고,입찰개시,36,49943,2,20,True,202602-02,202602-02,IN0100000112832,True,False,True,False,False,False,False,입160003,,,,,202412260183,민020000,,,
R26BK01324859,000,0,000,정비사업전문관리업자 용역,R26BK01324859000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,초량1구역가로주택정비사업조합,2026-02-09 11:06:00,2026-02-20 17:00:00,공440002,실공고,입찰개시,37,49943,2,20,True,202602-01,202602-01,IN0100000112832,True,False,True,False,False,False,False,입160003,,,,,202412260183,민020000,,,
R26BK01324334,000,0,000,2026년도 대학정보보호동아리KUCIS 행사 및 교육 지원 용역,R26BK01324334000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,한국정보보호산업협회,2026-02-09 10:34:00,2026-02-24 10:00:00,공440002,실공고,입찰개시,38,49943,2,20,True,교육기획팀-55,교육기획팀-55,IN0100000073440,True,False,True,False,False,False,False,입160003,,,,,,,,,
R26BK01324591,000,0,000,수의계약을 위한 우선협상대상 시공자 선정 공고 4차,R26BK01324591000,공400001,등록공고,조070004,공사,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,태평2가 가로주택정비사업조합,2026-02-09 10:26:00,2026-02-27 17:00:00,공440002,실공고,입찰개시,39,49943,2,20,True,2026-04,2026-04,IN0100000096016,True,False,True,False,False,False,False,입160003,,,,,,,,,
R26BK01324468,001,1,000,2025년 상품화기반구축지원사업 자동셋팅 오픈박스 제함기 물품구매 입찰,R26BK01324468001,공400002,변경공고,조070001,물품,입180002,전자입찰,계030003,제한경쟁,낙030021,최저가낙찰제,임실군조합공동사업법인 농산물산지유통센터,2026-02-09 10:19:00,2026-02-13 10:00:00,공440002,실공고,입찰개시,40,49943,2,20,True,2026-01,2026-01,IN0000000013838,True,False,True,False,False,False,False,입160003,,,,,,,,,
