bid_pbanc_no,bid_pbanc_ord,bid_clsf_no,bid_prgrs_ord,bid_pbanc_nm,bid_pbanc_num,pbanc_stts_cd,pbanc_stts_cd_nm,prcm_bsne_se_cd,prcm_bsne_se_cd_nm,bid_mthd_cd,bid_mthd_cd_nm,std_ctrt_mthd_cd,std_ctrt_mthd_cd_nm,scsbd_mthd_cd,scsbd_mthd_cd_nm,pbanc_inst_unty_grp_no,pbanc_inst_unty_grp_no_nm,grp_nm,bid_blff_id,bid_blff_id_nm,ibx_onbs_prnmnt_dt,ibx_onbs_dt,edoc_no,usr_doc_no_val
R26BK01325404,000,0,000,정비사업전문관리업체 선정 입찰 재공고,R26BK01325404000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000013665,남구 신정1구역재개발사업조합설립추진위원회,,UN00000555005,남정필,2026-02-23 17:00:00,,신정1구역재개발사업공고2026-003호,신정1구역재개발사업공고2026-003호
R26BK01325377,000,0,000,2026 KBL 유스 Y리그 중계방송 제작,R26BK01325377000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000075155,사단법인 케이비엘,,UN00000439538,박주진,2026-03-23 15:00:00,,202602,202602
R26BK01325148,000,0,000,정비사업전문관리업체 선정 입찰 공고,R26BK01325148000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000111041,신암4재정비촉진구역주택재개발정비사업조합,,UN00000337718,구영애,2026-02-24 15:00:00,,제2026-01호,제2026-01호
R26BK01325128,000,0,000,가설휀스 및 공사현장 내부 유지관리업체 선정 입찰공고,R26BK01325128000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000087586,십정3구역주택재개발정비사업조합,,CM024643G0001,김다슬,2026-02-20 12:00:00,,제2026-8호,제2026-8호
R26BK01311849,001,1,000,2026년 화공약품 구매 단가계약,R26BK01311849001,공400002,변경공고,조070001,물품,입180002,전자입찰,계030003,제한경쟁,낙030021,최저가낙찰제,IN0100000110367,인천공항에너지 주식회사,,UN00000569693,이지혜,2026-02-20 10:00:00,,2026-구매-제003호,2026-구매-제003호
R26BK01324978,000,0,000,용호1구역 설계자 선정 입찰공고,R26BK01324978000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000013774,용호1구역 재개발정비사업조합설립추진위원회,,UN00000562361,박두춘,2026-03-03 17:00:00,,제2026-03호,제2026-03호
R26BK01324952,000,0,000,KAI 2026년 공통직 1년차 역할역량 교육 업체 선정의 건,R26BK01324952000,공400001,등록공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000086382,한국항공우주산업주식회사,,UN00000172578,박경우,2026-02-25 12:00:00,,20250209A,20250209A
R26BK01324836,000,0,000,용호1구역 정비사업전문관리업자 선정 입찰공고,R26BK01324836000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000013774,용호1구역 재개발정비사업조합설립추진위원회,,UN00000562361,박두춘,2026-03-03 16:00:00,,제2026-02호,제2026-02호
R26BK01324893,000,0,000,범죄예방 및 이주관리 용역,R26BK01324893000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000112832,초량1구역가로주택정비사업조합,,UN00000530537,최귀종,2026-02-23 11:00:00,,202602-02,202602-02
R26BK01324859,000,0,000,정비사업전문관리업자 용역,R26BK01324859000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000112832,초량1구역가로주택정비사업조합,,UN00000530537,최귀종,2026-02-23 11:00:00,,202602-01,202602-01
R26BK01324334,000,0,000,2026년도 대학정보보호동아리KUCIS 행사 및 교육 지원 용역,R26BK01324334000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000073440,한국정보보호산업협회,,UN00000213619,신지혜,2026-02-24 11:00:00,,교육기획팀-55,교육기획팀-55
R26BK01324591,000,0,000,수의계약을 위한 우선협상대상 시공자 선정 공고 4차,R26BK01324591000,공400001,등록공고,조070004,공사,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000096016,태평2가 가로주택정비사업조합,,UN00000479246,김경희,2026-02-27 18:00:00,,2026-04,2026-04
R26BK01324468,001,1,000,2025년 상품화기반구축지원사업 자동셋팅 오픈박스 제함기 물품구매 입찰,R26BK01324468001,공400002,변경공고,조070001,물품,입180002,전자입찰,계030003,제한경쟁,낙030021,최저가낙찰제,IN0000000013838,임실군조합공동사업법인 농산물산지유통센터,,UN00000566255,박창식,2026-02-13 11:00:00,,2026-01,2026-01
